gene1	gene2	score	gene1_name	chr1	gene2_name	chr2	score_map1	score_map2
ENSG00000138468.11	ENSG00000196268.7	39.5	SENP7	chr3	ZNF493	chr19	0.951869453096757	0.754608935320544
ENSG00000138468.11	ENSG00000188171.10	29.5	SENP7	chr3	ZNF626	chr19	0.951869453096757	0.774312940386278
ENSG00000138468.11	ENSG00000197124.7	28	SENP7	chr3	ZNF682	chr19	0.951869453096757	0.934284927326004
ENSG00000138468.11	ENSG00000198521.7	23.5	SENP7	chr3	ZNF43	chr19	0.951869453096757	0.874478907180817
ENSG00000138468.11	ENSG00000197013.5	18	SENP7	chr3	ZNF429	chr19	0.951869453096757	0.86310372929294
ENSG00000138468.11	ENSG00000197020.6	15.5	SENP7	chr3	ZNF100	chr19	0.951869453096757	0.792882449054489
ENSG00000138468.11	ENSG00000256229.3	12.5	SENP7	chr3	ZNF486	chr19	0.951869453096757	0.74706798479619
ENSG00000138468.11	ENSG00000182141.5	12	SENP7	chr3	ZNF708	chr19	0.951869453096757	0.725125076801958
ENSG00000138468.11	ENSG00000266904.1	9.5	SENP7	chr3	LINC00663	chr19	0.951869453096757	0.985801185443996
ENSG00000138468.11	ENSG00000237440.4	3.5	SENP7	chr3	ZNF737	chr19	0.951869453096757	0.758104257740803
ENSG00000138468.11	ENSG00000184635.9	1	SENP7	chr3	ZNF93	chr19	0.951869453096757	0.823185629699188
ENSG00000138468.11	ENSG00000256771.2	1	SENP7	chr3	ZNF253	chr19	0.951869453096757	0.788332364430603
