gene1	gene2	score	gene1_name	chr1	gene2_name	chr2	score_map1	score_map2
ENSG00000138468.11	ENSG00000215193.8	259	SENP7	chr3	PEX26	chr22	0.951869453096757	0.840485657861059
ENSG00000138468.11	ENSG00000164916.9	185.5	SENP7	chr3	FOXK1	chr7	0.951869453096757	0.939013422366689
ENSG00000138468.11	ENSG00000173214.5	149	SENP7	chr3	KIAA1919	chr6	0.951869453096757	0.87047629546351
ENSG00000138468.11	ENSG00000160194.13	140.5	SENP7	chr3	NDUFV3	chr21	0.951869453096757	0.718692860948285
ENSG00000138468.11	ENSG00000089775.7	126	SENP7	chr3	ZBTB25	chr14	0.951869453096757	0.866027893872503
ENSG00000138468.11	ENSG00000177225.12	119.5	SENP7	chr3	PDDC1	chr11	0.951869453096757	0.753228147047324
ENSG00000138468.11	ENSG00000178229.7	117	SENP7	chr3	ZNF543	chr19	0.951869453096757	0.873674472908161
ENSG00000138468.11	ENSG00000143458.7	105	SENP7	chr3	GABPB2	chr1	0.951869453096757	0.783454431436876
ENSG00000138468.11	ENSG00000173614.9	99	SENP7	chr3	NMNAT1	chr1	0.951869453096757	0.672466586826354
ENSG00000138468.11	ENSG00000185670.7	98.5	SENP7	chr3	ZBTB3	chr11	0.951869453096757	0.794235771959284
ENSG00000138468.11	ENSG00000159921.10	97.5	SENP7	chr3	GNE	chr9	0.951869453096757	0.864319208665013
ENSG00000138468.11	ENSG00000165055.11	92.5	SENP7	chr3	METTL2B	chr7	0.951869453096757	0.523663609941295
ENSG00000138468.11	ENSG00000160049.7	88.5	SENP7	chr3	DFFA	chr1	0.951869453096757	0.784092304465827
ENSG00000138468.11	ENSG00000188295.10	86	SENP7	chr3	ZNF669	chr1	0.951869453096757	0.776329058326238
ENSG00000138468.11	ENSG00000137413.11	85	SENP7	chr3	TAF8	chr6	0.951869453096757	0.843175767178647
ENSG00000138468.11	ENSG00000186532.7	84.5	SENP7	chr3	SMYD4	chr17	0.951869453096757	0.857343931002776
ENSG00000138468.11	ENSG00000198466.8	77.5	SENP7	chr3	ZNF587	chr19	0.951869453096757	0.687852152193915
ENSG00000138468.11	ENSG00000162408.10	77	SENP7	chr3	NOL9	chr1	0.951869453096757	0.818119575075278
ENSG00000138468.11	ENSG00000170088.9	77	SENP7	chr3	TMEM192	chr4	0.951869453096757	0.790962261483438
ENSG00000138468.11	ENSG00000119661.10	76.5	SENP7	chr3	DNAL1	chr14	0.951869453096757	0.846388955539851
ENSG00000138468.11	ENSG00000136731.8	76.5	SENP7	chr3	UGGT1	chr2	0.951869453096757	0.907319084715673
ENSG00000138468.11	ENSG00000125388.15	72.5	SENP7	chr3	GRK4	chr4	0.951869453096757	0.905939066093857
ENSG00000138468.11	ENSG00000167595.10	72	SENP7	chr3	C19orf55	chr19	0.951869453096757	0.876233104594541
ENSG00000138468.11	ENSG00000141252.15	67	SENP7	chr3	VPS53	chr17	0.951869453096757	0.833984813419297
ENSG00000138468.11	ENSG00000188735.8	66	SENP7	chr3	TMEM120B	chr12	0.951869453096757	0.897676045014264
ENSG00000138468.11	ENSG00000087995.11	62.5	SENP7	chr3	METTL2A	chr17	0.951869453096757	0.571693766077962
ENSG00000138468.11	ENSG00000186001.8	62.5	SENP7	chr3	LRCH3	chr3	0.951869453096757	0.893939366893836
ENSG00000138468.11	ENSG00000185219.11	61	SENP7	chr3	ZNF445	chr3	0.951869453096757	0.925114184270094
ENSG00000138468.11	ENSG00000149311.13	59.5	SENP7	chr3	ATM	chr11	0.951869453096757	0.939020070284325
ENSG00000138468.11	ENSG00000142751.10	57	SENP7	chr3	GPN2	chr1	0.951869453096757	0.855481041991879
ENSG00000138468.11	ENSG00000197162.8	56	SENP7	chr3	ZNF785	chr16	0.951869453096757	0.810138964250417
ENSG00000138468.11	ENSG00000164466.8	55	SENP7	chr3	SFXN1	chr5	0.951869453096757	0.90271699282108
ENSG00000138468.11	ENSG00000037757.9	53	SENP7	chr3	MRI1	chr19	0.951869453096757	0.782846822210447
